name,placement_strategy,policy,jobs_per_hr,seed,jct_sec,makespan_sec,utilization,runtime_sec
fgd_strided_1.0jph_s0,strided,fifo,1.0,0,357998.71,4725888.71,0.3920,10.88
fgd_strided_1.0jph_s1,strided,fifo,1.0,1,385339.17,2441507.31,0.6821,8.02
fgd_strided_1.0jph_s2,strided,fifo,1.0,2,450674.21,4679028.60,0.4205,10.77
fgd_strided_2.0jph_s0,strided,fifo,2.0,0,511294.23,11075419.65,0.1898,15.42
fgd_strided_2.0jph_s1,strided,fifo,2.0,1,360888.14,2426388.94,0.6287,8.03
fgd_strided_2.0jph_s2,strided,fifo,2.0,2,400887.54,3691015.55,0.4312,8.81
fgd_strided_3.0jph_s0,strided,fifo,3.0,0,447399.29,4627835.94,0.3833,10.35
fgd_strided_3.0jph_s1,strided,fifo,3.0,1,510122.83,7039828.47,0.2948,12.76
fgd_strided_3.0jph_s2,strided,fifo,3.0,2,504389.84,3650308.11,0.5287,10.34
fgd_strided_4.0jph_s0,strided,fifo,4.0,0,435241.01,4623887.20,0.3602,9.58
fgd_strided_4.0jph_s1,strided,fifo,4.0,1,408470.14,2418108.23,0.6962,8.40
fgd_strided_4.0jph_s2,strided,fifo,4.0,2,582647.65,16781918.40,0.1519,19.59
fgd_strided_5.0jph_s0,strided,fifo,5.0,0,494010.45,4686451.42,0.4033,10.31
fgd_strided_5.0jph_s1,strided,fifo,5.0,1,414702.68,2415953.02,0.6495,8.05
fgd_strided_5.0jph_s2,strided,fifo,5.0,2,713724.79,16876561.70,0.1785,21.49
fgd_strided_6.0jph_s0,strided,fifo,6.0,0,455867.84,3731239.69,0.4296,8.99
fgd_strided_6.0jph_s1,strided,fifo,6.0,1,515407.43,7016599.38,0.2979,12.67
fgd_strided_6.0jph_s2,strided,fifo,6.0,2,649842.62,16763332.39,0.1668,21.38
fgd_strided_7.0jph_s0,strided,fifo,7.0,0,456933.33,2869051.62,0.4686,8.41
fgd_strided_7.0jph_s1,strided,fifo,7.0,1,407996.61,2413786.77,0.6083,7.41
fgd_strided_7.0jph_s2,strided,fifo,7.0,2,648091.95,16795786.61,0.1592,19.94
fgd_strided_8.0jph_s0,strided,fifo,8.0,0,635045.90,14730321.62,0.1804,18.72
fgd_strided_8.0jph_s1,strided,fifo,8.0,1,486154.16,4788279.67,0.3676,9.74
fgd_strided_8.0jph_s2,strided,fifo,8.0,2,588595.61,5163537.69,0.4417,12.33
fgd_fgd_1.0jph_s0,fgd,fifo,1.0,0,191627.26,2836321.48,0.4117,6.45
fgd_fgd_1.0jph_s1,fgd,fifo,1.0,1,236548.60,2441506.11,0.5938,7.31
fgd_fgd_1.0jph_s2,fgd,fifo,1.0,2,613600.11,16966757.70,0.2226,25.58
fgd_fgd_2.0jph_s0,fgd,fifo,2.0,0,335379.68,4702281.91,0.4212,10.72
fgd_fgd_2.0jph_s1,fgd,fifo,2.0,1,365043.15,6939916.46,0.3101,13.80
fgd_fgd_2.0jph_s2,fgd,fifo,2.0,2,305313.39,3632231.32,0.4732,9.86
fgd_fgd_3.0jph_s0,fgd,fifo,3.0,0,504511.23,14586700.58,0.2016,22.51
fgd_fgd_3.0jph_s1,fgd,fifo,3.0,1,319097.46,4803045.51,0.3699,10.31
fgd_fgd_3.0jph_s2,fgd,fifo,3.0,2,486730.72,16751055.87,0.1658,20.80
fgd_fgd_4.0jph_s0,fgd,fifo,4.0,0,286097.28,3146105.31,0.4743,9.45
fgd_fgd_4.0jph_s1,fgd,fifo,4.0,1,331237.12,5202814.81,0.3401,10.25
fgd_fgd_4.0jph_s2,fgd,fifo,4.0,2,539284.94,16795941.08,0.1794,23.00
fgd_fgd_5.0jph_s0,fgd,fifo,5.0,0,318679.35,3286490.80,0.4989,8.64
fgd_fgd_5.0jph_s1,fgd,fifo,5.0,1,296292.70,2415952.49,0.6261,7.68
fgd_fgd_5.0jph_s2,fgd,fifo,5.0,2,277199.01,2145828.56,0.6849,7.35
fgd_fgd_6.0jph_s0,fgd,fifo,6.0,0,335191.02,4608514.00,0.3775,10.11
fgd_fgd_6.0jph_s1,fgd,fifo,6.0,1,371140.39,5845141.71,0.3297,11.58
fgd_fgd_6.0jph_s2,fgd,fifo,6.0,2,487653.49,8923331.23,0.2987,16.58
fgd_fgd_7.0jph_s0,fgd,fifo,7.0,0,289956.21,2674326.05,0.5194,7.41
fgd_fgd_7.0jph_s1,fgd,fifo,7.0,1,300820.99,2413788.46,0.6243,7.68
fgd_fgd_7.0jph_s2,fgd,fifo,7.0,2,519528.13,14438231.70,0.1950,20.98
fgd_fgd_8.0jph_s0,fgd,fifo,8.0,0,430736.80,10892130.90,0.2054,16.37
fgd_fgd_8.0jph_s1,fgd,fifo,8.0,1,349658.10,5203168.90,0.3449,11.07
fgd_fgd_8.0jph_s2,fgd,fifo,8.0,2,375567.92,5164636.44,0.3903,11.61
