scheduler,gpu_category,sum_gpu_demand,run
Random,8,108.0,0
Random,1,355.0,0
Random,2,8.0,0
Random,<1,62.02000000000002,0
Random,8,152.0,1
Random,1,356.0,1
Random,<1,52.020000000000024,1
Random,2,2.0,1
Random,8,172.0,2
Random,1,337.0,2
Random,2,2.0,2
Random,<1,56.570000000000014,2
Random,8,172.0,3
Random,1,355.0,3
Random,2,4.0,3
Random,<1,52.33,3
Random,8,116.0,4
Random,1,361.0,4
Random,<1,73.17000000000006,4
Random,2,2.0,4
Random,8,152.0,5
Random,1,331.0,5
Random,<1,81.23000000000006,5
Random,8,152.0,6
Random,1,326.0,6
Random,2,4.0,6
Random,<1,66.09000000000002,6
Random,8,104.0,7
Random,1,389.0,7
Random,<1,89.34,7
Random,2,4.0,7
Random,8,200.0,8
Random,1,311.0,8
Random,<1,65.12000000000003,8
Random,8,124.0,9
Random,1,354.0,9
Random,2,2.0,9
Random,<1,64.45000000000005,9
BestFit,1,104.0,0
BestFit,<1,36.61999999999998,0
BestFit,2,4.0,0
BestFit,8,8.0,0
BestFit,1,90.0,1
BestFit,<1,32.76999999999999,1
BestFit,2,2.0,1
BestFit,8,12.0,1
BestFit,1,86.0,2
BestFit,<1,38.94999999999999,2
BestFit,8,28.0,2
BestFit,1,110.0,3
BestFit,<1,36.47999999999999,3
BestFit,8,16.0,3
BestFit,1,80.0,4
BestFit,<1,33.37999999999999,4
BestFit,8,8.0,4
BestFit,1,98.0,5
BestFit,<1,37.76999999999999,5
BestFit,8,16.0,5
BestFit,8,16.0,6
BestFit,<1,36.68999999999998,6
BestFit,1,73.0,6
BestFit,<1,52.00999999999998,7
BestFit,1,110.0,7
BestFit,8,4.0,7
BestFit,8,24.0,8
BestFit,1,78.0,8
BestFit,<1,32.97999999999998,8
BestFit,1,90.0,9
BestFit,<1,40.18,9
BestFit,8,12.0,9
DotProd,1,267.0,0
DotProd,<1,100.81000000000003,0
DotProd,8,16.0,0
DotProd,2,8.0,0
DotProd,8,20.0,1
DotProd,<1,100.92999999999998,1
DotProd,1,259.0,1
DotProd,2,2.0,1
DotProd,<1,106.31000000000003,2
DotProd,1,264.0,2
DotProd,8,48.0,2
DotProd,8,32.0,3
DotProd,1,256.0,3
DotProd,<1,104.03999999999998,3
DotProd,2,4.0,3
DotProd,<1,108.19999999999999,4
DotProd,1,252.0,4
DotProd,2,2.0,4
DotProd,8,16.0,4
DotProd,1,257.0,5
DotProd,<1,122.51000000000009,5
DotProd,8,24.0,5
DotProd,1,228.0,6
DotProd,<1,106.62000000000003,6
DotProd,8,40.0,6
DotProd,2,2.0,6
DotProd,1,262.0,7
DotProd,<1,117.63,7
DotProd,8,16.0,7
DotProd,2,4.0,7
DotProd,<1,106.14000000000004,8
DotProd,1,244.0,8
DotProd,8,28.0,8
DotProd,8,20.0,9
DotProd,1,279.0,9
DotProd,<1,111.64000000000006,9
Packing,1,77.0,0
Packing,<1,24.119999999999994,0
Packing,2,4.0,0
Packing,8,8.0,0
Packing,<1,27.129999999999992,1
Packing,1,66.0,1
Packing,8,12.0,1
Packing,<1,31.20999999999998,2
Packing,1,57.0,2
Packing,8,28.0,2
Packing,1,79.0,3
Packing,<1,25.649999999999995,3
Packing,8,8.0,3
Packing,1,67.0,4
Packing,<1,26.869999999999994,4
Packing,8,8.0,4
Packing,1,58.0,5
Packing,<1,26.04999999999999,5
Packing,8,8.0,5
Packing,1,68.0,6
Packing,<1,34.27999999999998,6
Packing,8,8.0,6
Packing,1,77.0,7
Packing,<1,33.329999999999984,7
Packing,8,4.0,7
Packing,1,58.0,8
Packing,<1,25.86999999999999,8
Packing,8,16.0,8
Packing,1,61.0,9
Packing,8,12.0,9
Packing,<1,24.289999999999992,9
Clustering,1,74.0,0
Clustering,<1,23.789999999999996,0
Clustering,2,4.0,0
Clustering,8,8.0,0
Clustering,1,63.0,1
Clustering,<1,27.02999999999999,1
Clustering,8,12.0,1
Clustering,1,62.0,2
Clustering,<1,33.03999999999998,2
Clustering,8,28.0,2
Clustering,1,82.0,3
Clustering,<1,25.879999999999992,3
Clustering,8,8.0,3
Clustering,1,67.0,4
Clustering,<1,26.869999999999994,4
Clustering,8,8.0,4
Clustering,1,61.0,5
Clustering,<1,26.64999999999999,5
Clustering,8,8.0,5
Clustering,1,59.0,6
Clustering,<1,32.329999999999984,6
Clustering,8,8.0,6
Clustering,1,77.0,7
Clustering,<1,33.329999999999984,7
Clustering,8,4.0,7
Clustering,1,68.0,8
Clustering,<1,28.299999999999986,8
Clustering,8,16.0,8
Clustering,1,63.0,9
Clustering,8,12.0,9
Clustering,<1,24.13999999999999,9
FGD,8,36.0,0
FGD,2,6.0,0
FGD,1,3.0,0
FGD,8,24.0,1
FGD,1,1.0,1
FGD,8,68.0,2
FGD,8,68.0,3
FGD,2,2.0,3
FGD,8,36.0,4
FGD,2,2.0,4
FGD,1,1.0,4
FGD,8,32.0,5
FGD,1,6.0,5
FGD,<1,0.47,5
FGD,8,68.0,6
FGD,2,2.0,6
FGD,8,48.0,7
FGD,2,2.0,7
FGD,1,3.0,7
FGD,8,76.0,8
FGD,8,64.0,9
